epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.742,1.66185,3.23574,1.26471,0.89918,0.88926,0.93655,0.48651,1.5499,0.98442,1.27771,0.00332756,0.00332756,0.00332756
2,543.991,1.57758,1.69639,1.24766,0.92301,0.95635,0.962,0.52161,1.5121,0.92368,1.28944,0.00657846,0.00657846,0.00657846
3,810.651,1.62606,1.26126,1.29974,0.79343,0.86983,0.90248,0.44758,1.62822,1.08579,1.42942,0.00974687,0.00974687,0.00974687
4,1077.42,1.61627,1.02472,1.32594,0.9019,0.94211,0.95597,0.50495,1.55129,0.81981,1.3625,0.00962875,0.00962875,0.00962875
5,1344.23,1.57893,0.8978,1.31712,0.94634,0.93287,0.96225,0.52906,1.49935,0.91897,1.31765,0.009505,0.009505,0.009505
6,1610.67,1.54928,0.82775,1.30477,0.94495,0.94681,0.97138,0.53691,1.50322,0.70243,1.3422,0.00938125,0.00938125,0.00938125
7,1877.16,1.52425,0.78853,1.29846,0.93959,0.9725,0.97782,0.53716,1.52656,0.67521,1.35749,0.0092575,0.0092575,0.0092575
8,2144.04,1.51652,0.76018,1.29325,0.95193,0.95589,0.9709,0.53782,1.49683,0.66396,1.35585,0.00913375,0.00913375,0.00913375
9,2410.65,1.50185,0.73924,1.28417,0.95647,0.96992,0.9685,0.55379,1.49954,0.61302,1.33904,0.00901,0.00901,0.00901
10,2676.91,1.48882,0.72176,1.27853,0.95898,0.97662,0.97898,0.57267,1.45255,0.60087,1.32328,0.00888625,0.00888625,0.00888625
11,2943.36,1.47377,0.70844,1.27411,0.9629,0.98171,0.97944,0.56595,1.45916,0.58688,1.33757,0.0087625,0.0087625,0.0087625
12,3209.95,1.46456,0.70361,1.27061,0.96015,0.983,0.97877,0.56498,1.44323,0.59033,1.30018,0.00863875,0.00863875,0.00863875
13,3476.33,1.45643,0.68771,1.2649,0.94633,0.97702,0.97731,0.57493,1.4427,0.59639,1.31874,0.008515,0.008515,0.008515
14,3743.07,1.45085,0.68186,1.26107,0.95883,0.98461,0.9809,0.58035,1.44516,0.57105,1.30348,0.00839125,0.00839125,0.00839125
15,4009.41,1.45038,0.67277,1.26216,0.95753,0.98612,0.97739,0.58595,1.42412,0.55568,1.30482,0.0082675,0.0082675,0.0082675
16,4275.83,1.44761,0.66646,1.25108,0.96275,0.97824,0.97836,0.57367,1.44046,0.56006,1.31576,0.00814375,0.00814375,0.00814375
17,4542.47,1.43806,0.66043,1.25447,0.97171,0.9777,0.97934,0.58264,1.43059,0.54679,1.29396,0.00802,0.00802,0.00802
18,4809.06,1.43157,0.64911,1.2481,0.97015,0.98863,0.98297,0.58839,1.4361,0.54062,1.30363,0.00789625,0.00789625,0.00789625
19,5075.47,1.4153,0.64564,1.24163,0.959,0.98945,0.98221,0.58531,1.43253,0.53816,1.30082,0.0077725,0.0077725,0.0077725
20,5341.89,1.41749,0.64831,1.24065,0.95487,0.98948,0.98182,0.59463,1.41935,0.53254,1.30029,0.00764875,0.00764875,0.00764875
